step,interval_index,interval_label,interval_total_count,rank,token_id,token_text_decoded,token_text_raw,token_count,token_ratio_within_interval
20,0,[0.0000, 0.3333),19678,1,151643,&lt;|endoftext|&gt;,&lt;|endoftext|&gt;,10369,0.52693363
20,0,[0.0000, 0.3333),19678,2,15,0,0,2800,0.14229088
20,0,[0.0000, 0.3333),19678,3,2452,&gt;&gt;,&gt;&gt;,2309,0.11733916
20,0,[0.0000, 0.3333),19678,4,220, ,Ġ,1355,0.06885862
20,0,[0.0000, 0.3333),19678,5,17,2,2,610,0.03099909
20,0,[0.0000, 0.3333),19678,6,16,1,1,532,0.02703527
20,0,[0.0000, 0.3333),19678,7,20,5,5,225,0.01143409
20,0,[0.0000, 0.3333),19678,8,21,6,6,211,0.01072263
20,0,[0.0000, 0.3333),19678,9,19,4,4,173,0.00879154
20,0,[0.0000, 0.3333),19678,10,18,3,3,127,0.00645391
20,1,[0.3333, 0.6667),2867,1,151643,&lt;|endoftext|&gt;,&lt;|endoftext|&gt;,2008,0.70038368
20,1,[0.3333, 0.6667),2867,2,15,0,0,204,0.07115452
20,1,[0.3333, 0.6667),2867,3,2452,&gt;&gt;,&gt;&gt;,185,0.06452738
20,1,[0.3333, 0.6667),2867,4,16,1,1,37,0.01290548
20,1,[0.3333, 0.6667),2867,5,220, ,Ġ,34,0.01185909
20,1,[0.3333, 0.6667),2867,6,1115, &lt;&lt;,Ġ&lt;&lt;,26,0.00906871
20,1,[0.3333, 0.6667),2867,7,28,=,=,22,0.00767353
20,1,[0.3333, 0.6667),2867,8,19,4,4,19,0.00662714
20,1,[0.3333, 0.6667),2867,9,9,*,*,19,0.00662714
20,1,[0.3333, 0.6667),2867,10,17,2,2,19,0.00662714
20,2,[0.6667, 1.0000],2103,1,151643,&lt;|endoftext|&gt;,&lt;|endoftext|&gt;,1477,0.70233000
20,2,[0.6667, 1.0000],2103,2,15,0,0,102,0.04850214
20,2,[0.6667, 1.0000],2103,3,16,1,1,55,0.02615311
20,2,[0.6667, 1.0000],2103,4,20,5,5,49,0.02330005
20,2,[0.6667, 1.0000],2103,5,28,=,=,43,0.02044698
20,2,[0.6667, 1.0000],2103,6,17,2,2,43,0.02044698
20,2,[0.6667, 1.0000],2103,7,2452,&gt;&gt;,&gt;&gt;,42,0.01997147
20,2,[0.6667, 1.0000],2103,8,9,*,*,26,0.01236329
20,2,[0.6667, 1.0000],2103,9,18,3,3,25,0.01188778
20,2,[0.6667, 1.0000],2103,10,23,8,8,22,0.01046125
